2	1.0	0.998	0.9901	0.9763	0.9626	0.935	0.9123	0.878	0.8419	0.8025	
3	1.0	0.9948	0.9747	0.9409	0.8875	0.8333	0.7457	0.6761	0.5778	0.4873	
4	1.0	0.9938	0.9679	0.925	0.8564	0.7675	0.6611	0.5533	0.4303	0.3217	
5	1.0	0.9941	0.9718	0.9229	0.8508	0.7406	0.6107	0.4747	0.3432	0.2412	
6	1.0	0.9929	0.9719	0.9219	0.8366	0.7182	0.5656	0.4303	0.2915	0.1785	
7	1.0	0.993	0.9732	0.9226	0.8366	0.7092	0.5522	0.3922	0.2428	0.1343	
8	1.0	0.9942	0.9753	0.9256	0.8374	0.7048	0.5368	0.3631	0.2131	0.1039	
9	1.0	0.9935	0.9727	0.9298	0.8393	0.7032	0.5272	0.3433	0.186	0.0826	
10	1.0	0.9943	0.9719	0.925	0.8392	0.7019	0.511	0.3228	0.1594	0.0684	
11	1.0	0.9942	0.9715	0.9263	0.8408	0.7022	0.5135	0.3147	0.1541	0.0529	
12	1.0	0.9944	0.9741	0.9215	0.8419	0.6974	0.5165	0.2989	0.1328	0.0467	
13	1.0	0.9941	0.9742	0.9236	0.8431	0.7075	0.5047	0.2889	0.1272	0.0373	
14	1.0	0.9932	0.9775	0.9262	0.8481	0.7021	0.5036	0.2765	0.1154	0.0306	
15	1.0	0.9946	0.9726	0.9241	0.8352	0.7097	0.5001	0.2699	0.1071	0.0276	
16	1.0	0.9942	0.9703	0.9278	0.84	0.7032	0.4934	0.2732	0.0994	0.0243	
17	1.0	0.9941	0.9713	0.9289	0.8361	0.7132	0.5078	0.2685	0.096	0.0209	
18	1.0	0.9931	0.9737	0.9207	0.8426	0.7083	0.499	0.2679	0.0869	0.018	
19	1.0	0.9951	0.9707	0.9264	0.8435	0.7038	0.4956	0.2594	0.0827	0.0155	
20	1.0	0.9939	0.9716	0.9248	0.8371	0.702	0.5027	0.2627	0.0802	0.0149	
21	1.0	0.9939	0.974	0.9268	0.8433	0.7137	0.5036	0.2628	0.0767	0.0119	
22	1.0	0.996	0.9749	0.9257	0.8465	0.7057	0.5021	0.254	0.0772	0.009	
23	1.0	0.9946	0.9713	0.9296	0.842	0.7036	0.5035	0.258	0.065	0.0074	
24	1.0	0.9931	0.9712	0.9263	0.8433	0.7012	0.5028	0.2453	0.0672	0.0068	
25	1.0	0.9949	0.973	0.9272	0.8384	0.706	0.5051	0.246	0.0631	0.0079	
26	1.0	0.9943	0.973	0.9261	0.8403	0.707	0.5017	0.2448	0.0601	0.0062	
27	1.0	0.995	0.9718	0.9288	0.8437	0.7079	0.5033	0.2447	0.0588	0.0057	
28	1.0	0.9946	0.9715	0.9255	0.8395	0.7038	0.5071	0.2449	0.0578	0.0039	
29	1.0	0.9939	0.9722	0.9315	0.8427	0.7103	0.5055	0.2449	0.0496	0.0034	
30	1.0	0.9924	0.9725	0.9195	0.8491	0.7094	0.5029	0.2469	0.0463	0.0029	
31	1.0	0.9934	0.9748	0.9275	0.8443	0.7063	0.5025	0.2438	0.0475	0.0027	
32	1.0	0.9937	0.9732	0.9232	0.8401	0.7136	0.508	0.2348	0.0466	0.0031	
33	1.0	0.9938	0.9755	0.9261	0.8401	0.7008	0.5097	0.2436	0.0487	0.0023	
34	1.0	0.994	0.9716	0.9202	0.8435	0.7153	0.503	0.2368	0.0471	0.0022	
35	1.0	0.9943	0.973	0.9251	0.8416	0.7019	0.4988	0.2434	0.0443	0.0016	
36	1.0	0.9933	0.9714	0.9272	0.8471	0.7008	0.5051	0.2382	0.0443	0.0021	
37	1.0	0.995	0.9749	0.9245	0.8408	0.7121	0.5107	0.2408	0.042	0.0019	
38	1.0	0.9942	0.973	0.9277	0.8427	0.7103	0.5071	0.2414	0.0414	0.0016	
39	1.0	0.9948	0.9721	0.9245	0.8372	0.7072	0.4953	0.244	0.0391	0.0015	
40	1.0	0.9926	0.9732	0.9271	0.85	0.7011	0.5074	0.2318	0.0409	0.0009	
41	1.0	0.9944	0.972	0.927	0.8434	0.7088	0.5107	0.2427	0.0352	0.0011	
42	1.0	0.9951	0.972	0.9252	0.8406	0.7016	0.4984	0.2438	0.0343	0.0011	
43	1.0	0.994	0.9729	0.9284	0.8447	0.7096	0.5108	0.2413	0.0369	0.0005	
44	1.0	0.9947	0.9728	0.9258	0.84	0.7038	0.5068	0.2384	0.0353	0.0008	
45	1.0	0.9953	0.9745	0.9269	0.8456	0.7118	0.5109	0.2398	0.0317	0.0006	
46	1.0	0.9931	0.9757	0.9245	0.839	0.709	0.5013	0.2474	0.0312	0.0003	
47	1.0	0.9938	0.9748	0.9273	0.8421	0.7078	0.4968	0.2413	0.0309	0.0002	
48	1.0	0.9946	0.9713	0.9253	0.8418	0.7063	0.4966	0.2354	0.0328	0.0003	
49	1.0	0.9947	0.9724	0.9272	0.8435	0.7067	0.5112	0.2488	0.0351	0.0003	
50	1.0	0.995	0.971	0.9201	0.8431	0.7111	0.511	0.2358	0.0313	0.0005	
